0,2,25,1,35,36350
0,2,13,1,22,35350
0,2,10,1,23,28200
1,2,7,1,27,26775
0,2,19,0,30,33696
0,2,16,1,21,28516
1,2,0,0,32,24900
0,2,16,1,18,31909
0,2,13,0,30,31850
0,2,13,0,31,32850
0,2,12,1,22,27025
0,1,15,1,19,24750
0,2,9,1,17,28200
0,1,9,0,27,23712
0,2,9,1,24,25748
0,2,7,1,15,29342
0,2,13,1,20,31114
0,1,11,0,14,24742
0,1,10,0,15,22906
0,2,6,0,21,24450
0,0,16,0,23,19175
0,1,8,0,31,20525
0,2,7,1,13,27959
1,2,8,1,24,38045
0,1,9,1,12,24832
0,2,5,1,18,25400
0,1,11,1,14,24800
1,2,5,1,16,25500
0,1,3,0,7,26182
0,1,3,0,17,23725
1,0,10,0,15,21600
0,1,11,0,31,23300
0,0,9,0,14,23713
1,1,4,0,33,20690
1,1,6,0,29,22450
0,1,1,1,9,20850
1,0,8,1,14,18304
0,0,4,1,4,17095
0,0,4,1,5,16700
0,0,4,1,4,17600
0,0,3,1,4,18075
0,0,3,0,11,18000
0,1,0,1,7,20999
1,0,3,1,3,17250
0,0,2,1,3,16500
0,0,2,1,1,16094
1,0,2,1,6,16150
1,0,2,1,2,15350
0,0,1,1,1,16244
1,0,1,1,1,16686
1,0,1,1,1,15000
1,0,0,1,2,20300
